"yelp_dc_restaurant_id","business_name","rank","review_count","categories","rating","address","reservation_available","accept_pickup","price_range","url"
"1","Unconventional Diner","1         
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"2","The Pig","2         
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"3","Busboys and Poets - 5th and K","3         
","1479","American (Traditional),Breakfast & Brunch,Mediterranean","4","1025 5th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/busboys-and-poets-5th-and-k-washington-2?frvs=True&osq=Restaurant"
"4","The Bird","4         
","361","American (New),Breakfast & Brunch","4","1337 11th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/the-bird-washington?frvs=True&osq=Restaurant"
"5","The Dabney Cellar","5         
","12","Bars,American (New)","5","1222 9th St NW Washington, DC 20001","False","False","0","https://www.yelp.com/biz/the-dabney-cellar-washington-2?frvs=True&osq=Restaurant"
"6","Hen Quarter","6         
","433","Southern,Breakfast & Brunch","4","750 E St NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/hen-quarter-washington-2?frvs=True&osq=Restaurant"
"7","Convivial","7         
","447","American (New),French,Bars","4","801 O St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/convivial-washington?frvs=True&osq=Restaurant"
"8","Spark","8         
","30","Barbeque,Caribbean,Venues & Event Spaces","5","1626 N Capitol St NW Washington, DC 20002","False","False","2","https://www.yelp.com/biz/spark-washington?frvs=True&osq=Restaurant"
"9","Founding Farmers - D.C","9         
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"10","A Baked Joint","10         
","1058","Coffee & Tea,Breakfast & Brunch,Sandwiches","5","440 K St NW Washington, DC 20001","False","False","1","https://www.yelp.com/biz/a-baked-joint-washington-9?frvs=True&osq=Restaurant"
"11","Barrel","1
","559","American (New),Cocktail Bars,Breakfast & Brunch","5","613 Pennsylvania Ave SE Washington, DC 20003","False","False","2","https://www.yelp.com/biz/barrel-washington?frvs=True&osq=Restaurant"
"12","Rose's Luxury","2
","1604","American (New),Italian","5","717 8th St SE Washington, DC 20003","False","False","3","https://www.yelp.com/biz/roses-luxury-washington?frvs=True&osq=Restaurant"
"13","Chloe","3
","39","American (New),Modern European","5","1331 4th St SE Washington, DC 20003","False","False","3","https://www.yelp.com/biz/chloe-washington-4?frvs=True&osq=Restaurant"
"14","Pineapple & Pearls","4
","255","Cafes,Coffee & Tea,American (New)","5","715 8th St SE Washington, DC 20003","False","False","4","https://www.yelp.com/biz/pineapple-and-pearls-washington-3?frvs=True&osq=Restaurant"
"15","Ted's Bulletin","5
","1698","Breakfast & Brunch,American (Traditional),Sandwiches","4","505 8th St SE Washington, DC 20003","False","False","2","https://www.yelp.com/biz/teds-bulletin-washington?frvs=True&osq=Restaurant"
"16","Farmbird","6
","207","Chicken Shop,American (New),American (Traditional)","5","625A H St NE Washington, DC 20002","False","False","2","https://www.yelp.com/biz/farmbird-washington?frvs=True&osq=Restaurant"
"17","Ambar","7
","1095","Modern European","5","523 8th St SE Washington, DC 20003","False","False","2","https://www.yelp.com/biz/ambar-washington?frvs=True&osq=Restaurant"
"18","Eatbar","8
","102","Bars,American (New),Burgers","4","415 8th St SE Washington, DC 20003","False","False","2","https://www.yelp.com/biz/eatbar-washington?frvs=True&osq=Restaurant"
"19","Unconventional Diner","9
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"20","The Alibi","10
","213","British,Pubs,Seafood","5","237 2nd St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/the-alibi-washington?frvs=True&osq=Restaurant"
"21","Unconventional Diner","1         
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"22","Hen Quarter","2         
","433","Southern,Breakfast & Brunch","4","750 E St NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/hen-quarter-washington-2?frvs=True&osq=Restaurant"
"23","b DC Penn Quarter","3         
","1010","Burgers,Bars,American (New)","4","801 Pennsylvania Ave NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/b-penn-quarter-washington-2?frvs=True&osq=Restaurant"
"24","The Smith","4         
","379","Bars,Steakhouses","4","901 F St NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/the-smith-washington-2?frvs=True&osq=Restaurant"
"25","District Taco","5         
","1258","Mexican","4","1309 F St NW Washington, DC 20004","False","False","1","https://www.yelp.com/biz/district-taco-washington-6?frvs=True&osq=Restaurant"
"26","Old Ebbitt Grill","6         
","6182","Bars,Breakfast & Brunch,Sandwiches","4","675 15th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/old-ebbitt-grill-washington?frvs=True&osq=Restaurant"
"27","USDA Whitten Cafe","7         
","55","Breakfast & Brunch,Cafeteria","4","1400 Independence Washington, DC 20250","False","False","1","https://www.yelp.com/biz/usda-whitten-cafe-washington?frvs=True&osq=Restaurant"
"28","Pennsylvania 6 DC","8         
","298","American (Traditional),Seafood,Cocktail Bars","5","1350 Eye St NW Washington, DC 20005","False","False","3","https://www.yelp.com/biz/pennsylvania-6-dc-washington?frvs=True&osq=Restaurant"
"29","SUCCOTASH - Penn Quarter","9         
","208","Southern,American (Traditional),Barbeque","4","915 F St NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/succotash-penn-quarter-washington-2?frvs=True&osq=Restaurant"
"30","Poke Papa","10         
","495","Poke,Hawaiian","5","806 H St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/poke-papa-washington?frvs=True&osq=Restaurant"
"31","Unconventional Diner","1         
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"32","The Pig","2         
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"33","Founding Farmers - D.C","3         
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"34","Pennsylvania 6 DC","4         
","298","American (Traditional),Seafood,Cocktail Bars","5","1350 Eye St NW Washington, DC 20005","False","False","3","https://www.yelp.com/biz/pennsylvania-6-dc-washington?frvs=True&osq=Restaurant"
"35","ChurchKey","5         
","1299","American (New),Lounges","4","1337 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/churchkey-washington?frvs=True&osq=Restaurant"
"36","The Bird","6         
","361","American (New),Breakfast & Brunch","4","1337 11th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/the-bird-washington?frvs=True&osq=Restaurant"
"37","Old Ebbitt Grill","7         
","6182","Bars,Breakfast & Brunch,Sandwiches","4","675 15th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/old-ebbitt-grill-washington?frvs=True&osq=Restaurant"
"38","Hen Quarter","8         
","433","Southern,Breakfast & Brunch","4","750 E St NW Washington, DC 20004","False","False","2","https://www.yelp.com/biz/hen-quarter-washington-2?frvs=True&osq=Restaurant"
"39","The Dabney Cellar","9         
","12","Bars,American (New)","5","1222 9th St NW Washington, DC 20001","False","False","0","https://www.yelp.com/biz/the-dabney-cellar-washington-2?frvs=True&osq=Restaurant"
"40","Wicked Waffle","10         
","910","Breakfast & Brunch,Sandwiches,Gluten-Free","4","1712 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/wicked-waffle-washington?frvs=True&osq=Restaurant"
"41","Founding Farmers - D.C","1
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"42","The Pig","2
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"43","Luke's Lobster Farragut","3
","7","Seafood","5","800 17th St NW Washington, DC 20006","False","False","0","https://www.yelp.com/biz/lukes-lobster-farragut-washington-2?frvs=True&osq=Restaurant"
"44","Wicked Waffle","4
","910","Breakfast & Brunch,Sandwiches,Gluten-Free","4","1712 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/wicked-waffle-washington?frvs=True&osq=Restaurant"
"45","Alfa Piehouse","5
","92","Greek,Bakeries,Breakfast & Brunch","5","1750 H St NW Washington, DC 20006","False","True","1","https://www.yelp.com/biz/alfa-piehouse-washington?frvs=True&osq=Restaurant"
"46","Honeysuckle","6
","126","American (New)","5","1990 M St NW Washington, DC 20036","False","False","3","https://www.yelp.com/biz/honeysuckle-washington-3?frvs=True&osq=Restaurant"
"47","Blue Duck Tavern","7
","1937","American (New),Breakfast & Brunch,Cocktail Bars","4","1201 24th St NW Washington, DC 20037","False","False","3","https://www.yelp.com/biz/blue-duck-tavern-washington?frvs=True&osq=Restaurant"
"48","Old Ebbitt Grill","8
","6182","Bars,Breakfast & Brunch,Sandwiches","4","675 15th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/old-ebbitt-grill-washington?frvs=True&osq=Restaurant"
"49","Korean Signature Bibimbap","9
","59","Korean","4","1825 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/korean-signature-bibimbap-washington?frvs=True&osq=Restaurant"
"50","Stoney's on L","10         
","220","American (Traditional),Lounges","4","2101 L St NW Washington, DC 20037","False","False","2","https://www.yelp.com/biz/stoneys-on-l-washington?frvs=True&osq=Restaurant"
"51","Farmers Fishers Bakers","1
","2583","American (New),Breakfast & Brunch,Vegetarian","4",,"False","False","2","https://www.yelp.com/biz/farmers-fishers-bakers-washington?frvs=True&osq=Restaurant"
"52","Founding Farmers - D.C","2
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"53","Blue Duck Tavern","3
","1937","American (New),Breakfast & Brunch,Cocktail Bars","4","1201 24th St NW","False","False","3","https://www.yelp.com/biz/blue-duck-tavern-washington?frvs=True&osq=Restaurant"
"54","Unconventional Diner","4
","73","Diners,Comfort Food","5","1207 9th St NW","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"55","Clyde's of Georgetown","5         
","858","American (Traditional),Bars","4","3236 M St NW","False","False","2","https://www.yelp.com/biz/clydes-of-georgetown-washington-3?frvs=True&osq=Restaurant"
"56","Boulangerie Christophe","6
","127","Bakeries,French,Cafes","4","1422 Wisconsin Ave NW","False","False","2","https://www.yelp.com/biz/boulangerie-christophe-washington?frvs=True&osq=Restaurant"
"57","Via Umbria","7
","48","Italian,Beer, Wine & Spirits,Cheese Shops","5","1525 Wisconsin Ave NW","False","False","2","https://www.yelp.com/biz/via-umbria-washington?frvs=True&osq=Restaurant"
"58","The Pig","8
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"59","OKI bowl at Georgetown","9
","58","Ramen","4","1608 Wisconsin Ave NW","False","True","2","https://www.yelp.com/biz/oki-bowl-at-georgetown-washington-2?frvs=True&osq=Restaurant"
"60","1789 Restaurant","10
","613","American (Traditional),American (New),Ice Cream & Frozen Yogurt","4","1226 36th St NW","False","False","4","https://www.yelp.com/biz/1789-restaurant-washington-4?frvs=True&osq=Restaurant"
"61","Duke's Counter","1
","236","Burgers,Pubs,Sandwiches","5","3000 Connecticut Ave NW Washington, DC 20008","False","True","2","https://www.yelp.com/biz/dukes-counter-washington?frvs=True&osq=Restaurant"
"62","Unconventional Diner","2
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"63","Open City At the National Cathedral","3
","65","Bars,Cafes,Diners","4","3101 Wisconsin Ave NW Washington, DC 20015","False","False","2","https://www.yelp.com/biz/open-city-at-the-national-cathedral-washington-3?frvs=True&osq=Restaurant"
"64","Hot N Juicy Crawfish","4
","1118","Seafood,Cajun/Creole","4","2651 Connecticut Ave NW Washington, DC 20008","False","False","2","https://www.yelp.com/biz/hot-n-juicy-crawfish-washington?frvs=True&osq=Restaurant"
"65","District Kitchen","5
","303","American (New)","4","2606 Connecticut Ave NW Washington, DC 20008","False","False","2","https://www.yelp.com/biz/district-kitchen-washington?frvs=True&osq=Restaurant"
"66","The Pig","6
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"67","Founding Farmers - D.C","7
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"68","Tail Up Goat","8
","384","Cocktail Bars,American (New),Italian","5","1827 Adams Mill Rd NW Washington, DC 20009","False","False","3","https://www.yelp.com/biz/tail-up-goat-washington?frvs=True&osq=Restaurant"
"69","Coppi's Organic Restaurant","9         
","112","Italian,Bars","4","3321 Connecticut Ave NW Washington, DC 20008","True","True","2","https://www.yelp.com/biz/coppis-organic-restaurant-washington?frvs=True&osq=Restaurant"
"70","Trattoria Al Volo","10
","11","Italian,Beer Bar","4","3417 Connecticut Ave NW Washington, DC 20008","False","False","0","https://www.yelp.com/biz/trattoria-al-volo-washington-2?frvs=True&osq=Restaurant"
"71","Bandit Taco","1
","24","Mexican","5","1946 New Hampshire Ave NW Washington, DC 20009","False","False","2","https://www.yelp.com/biz/bandit-taco-washington?frvs=True&osq=Restaurant"
"72","Unconventional Diner","2
","73","Diners,Comfort Food","5","1207 9th St NW Washington, DC 20001","False","False","2","https://www.yelp.com/biz/unconventional-diner-washington-3?frvs=True&osq=Restaurant"
"73","The Pig","3
","1341","American (Traditional),Cocktail Bars","4","1320 14th St NW Washington, DC 20005","False","False","2","https://www.yelp.com/biz/the-pig-washington-2?frvs=True&osq=Restaurant"
"74","The Fainting Goat","4
","515","American (New),Bars","4","1330 U St NW Washington, DC 20009","False","False","2","https://www.yelp.com/biz/the-fainting-goat-washington?frvs=True&osq=Restaurant"
"75","Tail Up Goat","5
","384","Cocktail Bars,American (New),Italian","5","1827 Adams Mill Rd NW Washington, DC 20009","False","False","3","https://www.yelp.com/biz/tail-up-goat-washington?frvs=True&osq=Restaurant"
"76","Grady's","6         
","9","American (New)","5","2210 14th St NW Washington, DC 20009","True","False","0","https://www.yelp.com/biz/gradys-washington?frvs=True&osq=Restaurant"
"77","Maydan","7
","98","Persian/Iranian,Moroccan,Lebanese","5","1346 Florida Ave NW Washington, DC 20009","False","False","2","https://www.yelp.com/biz/maydan-washington-2?frvs=True&osq=Restaurant"
"78","Founding Farmers - D.C","8
","10287","American (Traditional),Coffee & Tea,Breakfast & Brunch","4","1924 Pennsylvania Ave NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/founding-farmers-d-c-washington-2?frvs=True&osq=Restaurant"
"79","Brick Lane","9
","288","Breakfast & Brunch,American (New)","4","1636 17th St NW Washington, DC 20009","False","True","2","https://www.yelp.com/biz/brick-lane-washington?frvs=True&osq=Restaurant"
"80","Busboys and Poets - 14th and V","10
","1833","Breakfast & Brunch,American (Traditional)","4","2021 14th St NW Washington, DC 20009","False","False","2","https://www.yelp.com/biz/busboys-and-poets-14th-and-v-washington-2?frvs=True&osq=Restaurant"
"81","Heat Da Spot","1         
","109","Cafes","5","3213 Georgia Ave NW Washington, DC 20010","False","False","1","https://www.yelp.com/biz/heat-da-spot-washington?frvs=True&osq=Restaurant"
"82","Thip Khao","2         
","731","Laotian","5","3462 14th St NW Washington, DC 20010","False","False","2","https://www.yelp.com/biz/thip-khao-washington?frvs=True&osq=Restaurant"
"83","The Good Silver","3         
","27","Cocktail Bars,American (Traditional)","4","3410 11th St NW Washington, DC 20010","False","False","2","https://www.yelp.com/biz/the-good-silver-washington?frvs=True&osq=Restaurant"
"84","Bad Saint","4         
","398","Filipino","4","3226 11th St NW Washington, DC 20010","False","False","3","https://www.yelp.com/biz/bad-saint-washington?frvs=True&osq=Restaurant"
"85","Taqueria Habanero","5         
","503","Mexican,Cocktail Bars","5","3710 14th St NW Washington, DC 20010","False","False","1","https://www.yelp.com/biz/taqueria-habanero-washington?frvs=True&osq=Restaurant"
"86","Purple Patch","6         
","487","Filipino,American (Traditional),Cocktail Bars","5","3155 Mt Pleasant St NW Washington, DC 20010","False","True","2","https://www.yelp.com/biz/purple-patch-washington?frvs=True&osq=Restaurant"
"87","The Airedale","7         
","94","Gastropubs","4","3605 14th St Washington, DC 20010","False","False","2","https://www.yelp.com/biz/the-airedale-washington?frvs=True&osq=Restaurant"
"88","Mi Cuba Cafe","8         
","454","Cuban,Latin American,Caribbean","5","1424 Park Rd NW Washington, DC 20010","False","False","2","https://www.yelp.com/biz/mi-cuba-cafe-washington?frvs=True&osq=Restaurant"
"89","Flip it LJ Diner","9         
","39","Diners","5","1432 Park Rd Washington, DC 20010","False","False","2","https://www.yelp.com/biz/flip-it-lj-diner-washington-2?frvs=True&osq=Restaurant"
"90","Homestead","10         
","160","Cocktail Bars,Cideries,American (Traditional)","4","3911 Georgia Ave NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/homestead-washington?frvs=True&osq=Restaurant"
"91","Highlands","1
","376","Coffee & Tea,Breakfast & Brunch,American (Traditional)","4","4706 14th St NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/highlands-washington-3?frvs=True&osq=Restaurant"
"92","Homestead","2
","160","Cocktail Bars,Cideries,American (Traditional)","4","3911 Georgia Ave NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/homestead-washington?frvs=True&osq=Restaurant"
"93","Library Tavern","3
","33","Persian/Iranian,American (Traditional),Pubs","5","5420 3rd St NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/library-tavern-washington?frvs=True&osq=Restaurant"
"94","Tony's Place","4
","49","American (Traditional),Breakfast & Brunch","5","622 Kennedy St NW Washington, DC 20011","False","False","1","https://www.yelp.com/biz/tonys-place-washington?frvs=True&osq=Restaurant"
"95","Moreland's Tavern","5
","42","American (Traditional),Bars","5","5501 14th St NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/morelands-tavern-washington?frvs=True&osq=Restaurant"
"96","Slim's Diner","6         
","229","Diners,Breakfast & Brunch,Bars","3","4201 Georgia Ave NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/slims-diner-washington-2?frvs=True&osq=Restaurant"
"97","Slash Run","7
","117","Burgers,Beer Bar,Breakfast & Brunch","4","201 Upshur St NW Washington, DC 20011","False","False","2","https://www.yelp.com/biz/slash-run-washington?frvs=True&osq=Restaurant"
"98","Heat Da Spot","8
","109","Cafes","5","3213 Georgia Ave NW Washington, DC 20010","False","False","1","https://www.yelp.com/biz/heat-da-spot-washington?frvs=True&osq=Restaurant"
"99","Taqueria Habanero","9
","503","Mexican,Cocktail Bars","5","3710 14th St NW Washington, DC 20010","False","False","1","https://www.yelp.com/biz/taqueria-habanero-washington?frvs=True&osq=Restaurant"
"100","Hitching Post","10
","213","Southern,Soul Food,Salad","4","200 Upshur St NW Washington, DC 20011","False","True","2","https://www.yelp.com/biz/hitching-post-washington?frvs=True&osq=Restaurant"
"101","Trattoria Da Lina","1
","109","Italian","5","7000 Carroll Ave Takoma Park, MD 20912","False","False","2","https://www.yelp.com/biz/trattoria-da-lina-takoma-park?frvs=True&osq=Restaurant"
"102","Moh Moh Licious","2
","41","Himalayan/Nepalese,Asian Fusion","5","7414 Georgia Ave NW Washington, DC 20012","False","False","2","https://www.yelp.com/biz/moh-moh-licious-washington?frvs=True&osq=Restaurant"
"103","Republic","3
","383","Bars,Seafood","4","6939 Laurel Ave Takoma Park, MD 20912","False","False","2","https://www.yelp.com/biz/republic-takoma-park-2?frvs=True&osq=Restaurant"
"104","Takoma Bev","4
","60","Cocktail Bars,Coffee & Tea,Breakfast & Brunch","5","6917 Laurel Ave Takoma Park, MD 20912","False","False","2","https://www.yelp.com/biz/takoma-bev-takoma-park-2?frvs=True&osq=Restaurant"
"105","Lina's Diner & Bar","5
","71","Bars,American (New),French","5","8402 Georgia Ave Silver Spring, MD 20910","False","False","2","https://www.yelp.com/biz/linas-diner-and-bar-silver-spring-2?frvs=True&osq=Restaurant"
"106","Busboys and Poets - Takoma","6
","184","American (Traditional),Mediterranean,Breakfast & Brunch","4","235 Carroll St NW Washington, DC 20012","False","False","2","https://www.yelp.com/biz/busboys-and-poets-takoma-washington?frvs=True&osq=Restaurant"
"107","TACO-ma Yucatan Chicken","7
","55","Latin American","4","353 Cedar St NW Washington, DC 20012","False","False","2","https://www.yelp.com/biz/taco-ma-yucatan-chicken-washington?frvs=True&osq=Restaurant"
"108","Wings On Deck","8
","80","Chicken Wings,Southern,Soul Food","5","7317 Georgia Ave NW Washington, DC 20012","False","True","2","https://www.yelp.com/biz/wings-on-deck-washington?frvs=True&osq=Restaurant"
"109","Spicy Delight","9
","60","Caribbean","5","308 Carroll St NW Washington, DC 20012","False","False","2","https://www.yelp.com/biz/spicy-delight-washington?frvs=True&osq=Restaurant"
"110","Mark's Kitchen","10         
","373","Vegetarian,Korean,American (Traditional)","4","7006 Carroll Ave Takoma Park, MD 20912","False","False","2","https://www.yelp.com/biz/marks-kitchen-takoma-park?frvs=True&osq=Restaurant"
"111","Luke's Lobster Farragut","1         
","7","Seafood","5","800 17th St NW Washington, DC 20006","False","False","0","https://www.yelp.com/biz/lukes-lobster-farragut-washington-2?frvs=True&osq=Restaurant"
"112","Zen Taco","2
","8","Mexican,Poke","4","1747 Pennsylvania Ave NW Washington, DC 20006","False","False","0","https://www.yelp.com/biz/zen-taco-washington-4?frvs=True&osq=Restaurant"
"113","Korean Signature Bibimbap","3
","59","Korean","4","1825 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/korean-signature-bibimbap-washington?frvs=True&osq=Restaurant"
"114","Wicked Waffle","4
","911","Breakfast & Brunch,Sandwiches,Gluten-Free","4","1712 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/wicked-waffle-washington?frvs=True&osq=Restaurant"
"115","Alfa Piehouse","5
","92","Greek,Bakeries,Breakfast & Brunch","5","1750 H St NW Washington, DC 20006","False","True","1","https://www.yelp.com/biz/alfa-piehouse-washington?frvs=True&osq=Restaurant"
"116","GCDC Grilled Cheese Bar","6
","368","American (Traditional),Comfort Food","4","1730 Pennsylvania Ave NW Washington, DC 20006","False","True","2","https://www.yelp.com/biz/gcdc-grilled-cheese-bar-washington?frvs=True&osq=Restaurant"
"117","Roti Modern Mediterranean","7
","215","Mediterranean","4","1747 Pennsylvania Ave NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/roti-modern-mediterranean-washington-2?frvs=True&osq=Restaurant"
"118","Off The Record","8
","237","Bars,American (New)","4","800 16th St NW Washington, DC 20006","False","False","3","https://www.yelp.com/biz/off-the-record-washington?frvs=True&osq=Restaurant"
"119","Havana Cafe","9
","67","Cuban","4","1825 I St NW Washington, DC 20006","False","False","1","https://www.yelp.com/biz/havana-cafe-washington?frvs=True&osq=Restaurant"
"120","Sichuan Pavilion","10
","802","Szechuan","4","1814 K St NW Washington, DC 20006","False","False","2","https://www.yelp.com/biz/sichuan-pavilion-washington?frvs=True&osq=Restaurant"
"121","Lairh'","1
","6","Sicilian,Pizza","5","Via Rho 38A 20020 Lainate Italy","False","False","0","https://www.yelp.com/biz/lairh%C3%B2-lainate?frvs=True&osq=Restaurant"
"122","Osteria Cascina Torrette","2
","1","Pizza,Italian,Trattorie","5","Via Cascine Torrette 29 20010 Cornaredo Italy","False","False","2","https://www.yelp.com/biz/osteria-cascina-torrette-cornaredo?frvs=True&osq=Restaurant"
